IRecord_ID,Insurance_company_ID,Pet_ID,Cost_per_year,Date_Start
1000103,008,10000114,432,2020-04-21
1000104,008,10000115,385,2020-04-27
1000105,008,10000116,533,2020-04-25
1000106,008,10000117,528,2020-04-20
1000107,008,10000119,491,2020-04-26
1000108,008,10000118,446,2020-04-19
1000109,008,10000120,418,2020-04-23
1000110,008,10000121,488,2020-04-21
1000111,008,10000125,376,2020-04-24
1000112,002,10000124,354,2020-04-19
1000113,002,10000122,392,2020-04-18
1000114,002,10000123,455,2020-04-21
1000115,002,10000126,372,2020-04-18
1000116,002,10000127,359,2020-04-21
1000117,002,10000130,471,2020-04-24
1000118,002,10000129,376,2020-04-21
1000119,002,10000128,447,2020-04-22
1000120,002,10000131,411,2020-04-23
1000121,002,10000132,526,2020-04-26
1000122,002,10000134,458,2020-04-19
1000123,007,10000133,405,2020-04-24
1000124,007,10000136,385,2020-04-19
1000125,007,10000135,431,2020-04-24
1000126,007,10000137,440,2020-04-27
1000127,007,10000140,458,2020-04-26
1000128,007,10000141,450,2020-04-19
1000129,007,10000139,354,2020-04-21
1000130,007,10000138,450,2020-04-24
1000131,007,10000142,522,2020-04-19
1000132,007,10000144,526,2020-04-23
1000133,007,10000143,533,2020-04-20
1000134,007,10000145,504,2020-04-18
1000135,007,10000146,454,2020-04-19
1000136,007,10000147,360,2020-04-25
1000137,007,10000149,515,2020-04-26
1000138,007,10000148,426,2020-04-19
1000139,001,10000150,358,2020-04-26
1000140,001,10000153,462,2020-04-25
1000141,001,10000152,360,2020-04-24
1000142,001,10000151,524,2020-04-27
1000143,001,10000154,413,2020-04-21
1000144,001,10000156,415,2020-04-27
1000145,001,10000155,371,2020-04-26
1000146,001,10000157,423,2020-04-21
1000147,001,10000158,362,2020-04-24
1000148,003,10000159,513,2020-04-23
1000149,003,10000161,457,2020-04-18
1000150,003,10000160,485,2020-04-27
1000151,003,10000162,408,2020-04-20
1000152,003,10000163,457,2020-04-22
1000153,003,10000164,484,2020-04-19
1000154,003,10000165,439,2020-04-22
1000155,003,10000167,502,2020-04-24
1000156,003,10000166,389,2020-04-19
1000157,003,10000168,367,2020-04-25
1000158,003,10000169,412,2020-04-21
1000159,003,10000171,431,2020-04-25
1000160,003,10000170,456,2020-04-19
1000161,011,10000172,473,2020-04-27
1000162,011,10000173,410,2020-04-24
1000163,011,10000174,422,2020-04-20
1000164,011,10000176,526,2020-04-18
1000165,011,10000175,539,2020-04-27
1000166,011,10000177,416,2020-04-24
1000167,011,10000179,540,2020-04-24
1000168,011,10000178,507,2020-04-24
1000169,011,10000180,544,2020-04-23
1000170,011,10000181,421,2020-04-23
1000171,011,10000004,522,2019-04-01
1000172,011,10000003,506,2019-04-01
1000173,011,10000179,404,2019-04-15
1000174,010,10000178,357,2019-04-15
1000175,010,10000180,459,2019-04-15
1000176,010,10000075,540,2019-03-15
1000177,010,10000077,409,2019-03-20
1000178,010,10000078,532,2019-04-10
1000179,001,10000083,505,2019-04-01
1000180,001,10000084,457,2019-03-01
1000181,010,10000085,380,2019-03-15
1000182,010,10000095,358,2019-04-16
1000183,010,10000096,376,2019-04-24
1000184,010,10000095,503,2018-04-01
1000185,010,10000096,368,2018-04-01
